Tammie Wilson,64.8427526173303,-147.503460739625
Grier Hopkins,64.929477,-147.997064
Adam Wool,64.8176197747153,-148.051544277094
Mark Neuman,61.553775, -149.795664
David Eastman,61.615011, -149.309737
Delena Johnson,61.5980741009671,-149.118366389651
Cathy Tilton,61.564027,-149.336711
Sharon Jackson,61.335051,-149.569089
Kelly Merrick,61.322663552305,-149.522037992147
Gabrielle Ledoux,61.210237,-149.720551311833
Ivy Spohnholz,61.1892271088792,-149.788340250409
Andy Josephson,61.1770719433181,-149.855184280022
Harriet Drummond,61.200686,-149.906248
Geran Tarr,61.2045331114472,-149.822008727242
Zack Fields,61.209290,-149.902320
Matt Claman,61.200509, -149.948413
Sara Rasmussen,61.1544275179017,-149.9870016694
Chuck Kopp,61.1115285425349,-149.920259901789
Josh Revak,
Laddie Shaw,
Lance Pruitt,
Jennifer Johnston,
Ben Carpenter,
Gary Knopp,
Sarah Vance,
Louise Stutes,
Sara Hannan,
Andi Story,
Dan Ortiz,
Scott Kawasaki,
John Coghill,
Click Bishop,64.8512935627266,-147.805456596809
Shelly Hughes,61.6094993,-149.2086567
Lora Reinbold,
Bill Wielechowski,61.2106466715941,-149.722961530206
Elvi Gray Jackson,61.1959264102053,-149.842592291605
Tom Begich,
Mia Costello,61.1511469390433,-149.989016887151
Natasha Von Imhof,61.129507817623,-149.950576339481
Cathy Giessel,
Gary Stevens,57.7904276883787,-152.40207008202
Jesse Kiehl,
Bert Stedman,57.046581,-135.288653
