Tammie Wilson,64.8427526173303,-147.503460739625
Grier Hopkins,32.918731,-96.8005071225651
Adam Wool,64.8176197747153,-148.051544277094
Mark Neuman,32.1452795,-110.9990219
David Eastman,40.7941251,-77.8594111
Delena Johnson,61.5980741009671,-149.118366389651
Cathy Tilton,61.564027,-149.336711
Sharon Jackson,38.222607,-85.626526
Kelly Merrick,61.322663552305,-149.522037992147
Gabrielle Ledoux,61.210237,-149.720551311833
Ivy Spohnholz,61.1892271088792,-149.788340250409
Andy Josephson,61.1770719433181,-149.855184280022
Harriet Drummond,38.6749657,-120.8275865
Geran Tarr,61.2045331114472,-149.822008727242
Zack Fields,40.6911173673469,-73.6899766734694
Matt Claman,42.34869,-88.3282167
Sara Rasmussen,61.1544275179017,-149.9870016694
Chuck Kopp,61.1115285425349,-149.920259901789
Josh Revak,41.75184425,-88.1408790501157
Laddie Shaw,40.0981272638091,-82.9631391905628
Lance Pruitt,39.3706012,-76.690072
Jennifer Johnston,37.5084831,-78.0447233
Ben Carpenter,51.5734255,0.1366637
Gary Knopp,35.04072,-79.058818
Sarah Vance,37.3122897,-121.9915967
Louise Stutes,57.8239893762114,-152.39571432289
Sara Hannan,58.3396646,-134.5551381
Andi Story,-33.76605,151.2695582
Dan Ortiz,55.3111463820317,-131.585497073655
Scott Kawasaki,41.541628,-81.622046
John Coghill,35.4392495531515,-89.4755473625905
Click Bishop,64.8512935627266,-147.805456596809
Shelly Hughes,61.6094993,-149.2086567
Lora Reinbold,39.88962,-82.892009
Bill Wielechowski,61.2106466715941,-149.722961530206
Elvi Gray Jackson,61.1959264102053,-149.842592291605
Tom Begich,48.7559605714286,-122.485095857143
Mia Costello,61.1511469390433,-149.989016887151
Natasha Von Imhof,61.129507817623,-149.950576339481
Cathy Giessel,41.71437,-70.947058
Gary Stevens,57.7904276883787,-152.40207008202
Jesse Kiehl,36.4347434821352,-94.1208111147546
Bert Stedman,57.046581,-135.288653
